B0009XLVG0,B001L1KH6Y,B003THML30,B004YWHTBS,B003WLC4VC,B003THQKXM,B003NZHOQ2,B005LXGGH2,B000G82L5I,B000FBQ5EY,B003THTKZC,B003UE2X2G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001GVISJM,B000G6RYNE,B001CWZXIY,B00139TT72,B001CD1VI4,B00284TR82,B0058AMY74,B000G35JNE,B001EO5TMK,B001EQ531U,B003ZIEZGO,B000HP7KEW,B0040PYX90,B0041NYV8E,B0012XBD7I,B0029NWW5W,B00099XOQE,B000FA38Z4,B002IEZJMA,B000G6MBUA
B001GVISJM,B000HB9TLI,B0002PHDAS,B001FA1DYG,B001EQ5OSM,B0029JW9JU,B000GZY9HY,B001SFTVYW,B0014GP4QY,B0029JW8T6,B001HTIPU0,B0007WGVBI,B001SAWNWE,B001EQ55T0,B001HTKP5I,B0029JZQMC,B00032B7SO,B000MQSJB4,B0029JW96I,B000FAIR96
B001EO5QW8,B001H0FHXW,B005EF0HSG,B001H0FI22,B000ZT12NK,B008BLFCK8,B000EMM9WG,B008RWUKXK,B0049IUUCM,B005IW4WFY,B008RWUHA6,B004DIR3TQ,B001H0FHZA,B0016PC4TS,B001H0FI36,B001H0FI0O,B003WEDZRG,NaN,NaN,NaN
B001EO5QW8,B000KND8RY,B0035MV4ZK,B000FL521G,B001EO685W,B001VNOG5U,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001EO5QW8,B002Z08RIA,B000MIFRY4,B0034EDLS2,B0034EDMCW,B002YLI9E2,B0034EDMLI,B0034EDM2W,B0034EFIYC,B002YLGAIO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001EO5QW8,B000FDMLVS,B000EOOS8W,B00438OF6U,B000EMK56I,B003KL441C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001EO5QW8,B001E5E20O,B001BDDTB2,B001BDDTB2,B004R8J8E0,B0029NUX3A,B001EO6EVK,B001QE7S4K,B0029NUYZW,B000633V3O,B001E6IZVU,B0029NWW5W,B003R0MFYY,B000WFGNR2,B001E6K6GW,B004JRKEH4,B001OCKIP0,B002LANN56,B004YV80OE,B003P9XGE0
B001EO5QW8,B000GZYAT6,B000DZFMEQ,B000MICPSA,B001EQ5NJM,B000CQ4D3C,B000F0JOVG,B000CQ01NS,B000NMJWZO,B000LKZ3GA,B000EVWQZW,B000K8R578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001EO5QW8,B001RVFDOO,B000EM6PC6,B0045XE32E,B001BDDTB2,B001BDDTB2,B002BCE9JS,B000ED7M1S,B000GW46D4,B0041NYV8E,B004CYLW7A,B00099XOQE,B002IEZJMA,B000G82L62,B000EQX7CI,B000ZT12NK,B007RTR8AM,B000JWZQGW,B000ITUEBS,B001LG940E
B001EO5QW8,B00063KO34,B004TPE0VM,B003D4EW8G,B005GRCWDU,B005GXHKSG,B003DOPI6Q,B005GX8MMO,B000GPXIEY,B005GX00BK,B005GTWCTM,B003D4EWOK,B003E5IQW2,B001E5E0D8,NaN,NaN,NaN,NaN,NaN,NaN
